release_speed,spin_axis,delta_home_win_exp
95.4,187.0,0.0
88.8,200.0,0.0
73.2,329.0,0.0
79.1,226.0,0.0
80.3,117.0,0.0
83.6,135.0,0.0
82.1,89.0,0.0
91.0,184.0,0.0
86.5,190.0,0.0
92.0,212.0,0.0
91.9,204.0,0.013
90.3,150.0,-0.033
77.1,114.0,0.0
69.1,49.0,-0.019
80.8,51.0,0.0
76.9,333.0,-0.038
83.8,244.0,0.0
89.4,139.0,0.0
87.5,91.0,0.0
95.5,229.0,0.0
89.3,148.0,-0.025
91.0,202.0,0.0
78.9,92.0,0.0
80.6,193.0,0.0
94.1,198.0,0.0
85.7,118.0,0.0
97.9,199.0,0.0
89.4,194.0,0.0
86.2,174.0,0.0
93.5,238.0,0.0
96.2,207.0,0.0
82.1,57.0,0.08
82.4,125.0,0.0
74.7,346.0,0.0
97.6,209.0,-0.044
80.6,15.0,0.0
72.7,30.0,0.0
80.0,295.0,0.0
87.8,95.0,0.0
95.9,220.0,0.004
96.6,236.0,0.0
95.5,209.0,0.0
94.8,189.0,0.021
91.7,211.0,0.0
89.8,161.0,0.013
86.8,240.0,0.0
91.0,254.0,0.0
82.9,28.0,0.0
95.2,192.0,0.0
75.7,82.0,-0.004
81.9,159.0,0.0
85.4,145.0,0.0
90.4,248.0,0.0
79.7,272.0,0.0
87.2,175.0,0.0
80.1,272.0,0.0
94.5,129.0,0.0
90.7,206.0,0.0
85.7,103.0,0.0
88.8,196.0,-0.022
91.9,223.0,0.0
84.0,86.0,0.0
93.1,179.0,-0.005
95.6,194.0,0.0
91.2,223.0,0.0
87.5,178.0,0.0
82.7,24.0,0.0
88.1,4.0,-0.037
92.3,215.0,0.0
80.6,17.0,0.0
92.9,203.0,0.0
91.4,206.0,0.0
90.0,218.0,0.0
91.4,201.0,0.024
93.3,196.0,0.0
81.3,56.0,0.0
90.5,119.0,0.001
97.4,194.0,0.004
97.0,201.0,0.0
77.1,22.0,0.0
89.0,157.0,0.0
85.3,249.0,0.0
93.0,147.0,-0.043
83.9,272.0,0.022
69.0,216.0,-0.018
93.6,177.0,0.0
92.8,206.0,0.0
92.0,206.0,0.0
83.7,87.0,-0.036
92.4,100.0,0.0
86.5,161.0,0.0
96.5,243.0,0.0
87.3,204.0,-0.022
93.2,229.0,0.0
86.1,203.0,0.0
90.4,205.0,-0.002
94.3,220.0,-0.089
86.7,160.0,0.0
79.8,168.0,0.0
94.4,242.0,0.0
98.1,124.0,0.0
83.1,169.0,0.0
74.3,324.0,0.0
83.9,95.0,-0.013
91.1,219.0,0.0
95.2,250.0,0.0
93.2,109.0,0.0
83.4,277.0,0.0
78.8,249.0,0.0
91.2,237.0,0.0
92.6,177.0,0.0
90.0,206.0,0.0
86.7,286.0,-0.033
81.0,40.0,-0.009
89.8,158.0,0.0
90.6,211.0,-0.023
87.5,138.0,0.0289999999999999
81.4,250.0,0.0
87.0,162.0,0.0
89.7,123.0,0.0
82.6,223.0,0.0
80.4,141.0,0.0
91.3,206.0,0.0
87.5,295.0,0.0
92.1,211.0,0.0
93.8,206.0,0.0
95.7,221.0,0.0
83.8,255.0,0.0
82.8,62.0,0.0
80.3,50.0,0.003
97.7,209.0,0.0
93.8,195.0,0.0
90.9,245.0,0.0
93.9,213.0,0.0
88.3,162.0,-0.107
84.4,264.0,-0.104
84.4,28.0,0.0
76.6,331.0,0.0
83.5,98.0,0.0
97.1,240.0,0.0
96.9,196.0,0.0
90.5,209.0,0.0
93.0,210.0,0.0
90.3,194.0,0.0
93.0,233.0,-0.083
93.3,168.0,0.0
96.8,189.0,0.0
84.5,264.0,-0.031
88.6,105.0,-0.0279999999999999
85.8,126.0,0.0
81.4,116.0,0.0
93.4,191.0,0.0
95.4,207.0,0.0
97.9,198.0,0.0
88.7,221.0,-0.0279999999999999
86.8,111.0,0.0
91.1,187.0,-0.127
80.3,116.0,0.0
84.8,347.0,0.0
95.4,245.0,0.001
91.0,206.0,-0.016
92.5,219.0,0.01
94.0,229.0,0.0
95.0,194.0,-0.013
88.5,124.0,-0.0069999999999999
89.5,221.0,0.0
80.1,119.0,-0.005
91.2,215.0,0.0
92.9,156.0,0.0
94.1,190.0,0.0
91.2,185.0,0.0
91.8,152.0,0.0
82.0,57.0,0.0
94.7,229.0,0.0
86.0,82.0,0.0
97.5,246.0,0.0
75.2,318.0,0.0
81.5,121.0,0.0
92.2,221.0,0.0
91.8,221.0,0.0
94.6,211.0,0.0
84.9,256.0,-0.038
80.1,143.0,0.0
86.8,131.0,0.0
85.5,270.0,0.0
76.6,213.0,0.0
92.8,235.0,0.026
88.1,71.0,0.0
90.9,267.0,0.0
93.8,153.0,0.0
94.7,248.0,0.0
91.1,198.0,0.0
85.1,256.0,-0.019
94.0,244.0,0.0
82.2,231.0,-0.031
89.4,146.0,0.0
81.2,126.0,0.0
92.1,185.0,0.0
94.2,106.0,0.0
84.4,239.0,0.0
91.7,139.0,0.0
86.5,192.0,0.0
91.9,209.0,-0.022
94.5,206.0,0.0
93.0,222.0,0.0069999999999999
77.2,247.0,0.0
88.9,166.0,0.0
79.0,31.0,0.019
85.1,337.0,0.0
91.8,168.0,0.062
87.6,98.0,0.0
93.7,136.0,0.0
97.3,185.0,0.0
77.3,74.0,0.0
80.1,142.0,0.0
91.2,165.0,0.0
93.1,149.0,0.0
82.9,156.0,0.0
68.4,303.0,0.0
87.5,100.0,0.0
90.0,149.0,-0.033
95.4,219.0,0.0
83.0,261.0,0.0
94.8,242.0,0.0
96.7,201.0,0.0
90.6,174.0,0.0
91.8,175.0,0.0
96.6,208.0,-0.142
88.1,186.0,0.0
95.7,194.0,0.0
84.2,53.0,0.0
85.8,124.0,0.045
96.6,187.0,0.0
83.9,194.0,0.0
94.0,122.0,0.0
81.4,6.0,-0.016
85.7,171.0,0.01
87.0,269.0,0.0
89.9,136.0,0.0
78.2,309.0,-0.013
82.2,21.0,0.0
86.6,113.0,0.0
96.1,190.0,-0.094
94.6,124.0,0.0
79.4,294.0,0.0
88.5,229.0,0.0
82.1,115.0,0.0
92.2,231.0,0.0
91.4,167.0,0.0
86.9,179.0,-0.023
77.6,96.0,0.0
88.8,143.0,0.0
88.6,213.0,0.012
95.1,154.0,-0.037
91.9,204.0,-0.017
73.9,305.0,-0.013
78.6,328.0,0.031
87.8,279.0,0.0
82.7,243.0,-0.017
87.2,198.0,0.0
77.9,260.0,0.02
84.2,76.0,0.0
92.3,157.0,0.0
75.1,61.0,0.0
89.7,199.0,0.0
86.7,132.0,0.038
92.3,209.0,0.0
94.6,204.0,0.0
91.6,209.0,0.0
84.2,137.0,0.035
81.1,28.0,0.0
90.1,212.0,0.0
82.6,149.0,0.0
90.1,230.0,0.0
82.4,65.0,0.017
92.8,207.0,-0.046
87.8,210.0,0.0
82.2,30.0,-0.0139999999999999
90.0,150.0,0.0
83.1,123.0,0.0
95.0,206.0,0.0
90.7,255.0,-0.057
86.2,212.0,0.0
87.1,134.0,0.131
95.0,131.0,0.0
88.0,176.0,-0.0139999999999999
90.2,187.0,0.0139999999999999
91.2,205.0,-0.026
86.4,113.0,0.0
73.2,322.0,0.0
91.2,274.0,0.0
93.2,195.0,0.001
87.3,152.0,0.0
94.8,201.0,-0.109
88.2,193.0,-0.036
91.6,240.0,-0.024
90.1,140.0,0.011
89.8,157.0,0.0
95.8,232.0,0.0
94.5,204.0,0.0
92.7,243.0,-0.031
86.7,106.0,0.0
80.9,73.0,0.0
71.7,276.0,0.0
87.8,186.0,0.0
77.5,42.0,0.0
89.2,147.0,-0.025
79.3,67.0,0.0
94.7,212.0,-0.111
83.0,145.0,0.02
85.3,156.0,-0.0409999999999999
94.8,245.0,0.0
83.7,96.0,0.017
81.5,296.0,0.0
90.6,132.0,0.0
92.5,140.0,0.0
90.7,203.0,-0.003
95.4,196.0,0.0
94.1,247.0,0.075
90.0,210.0,0.0
92.9,198.0,0.0
95.9,200.0,0.0
88.0,223.0,0.003
85.8,34.0,0.0
92.2,216.0,-0.035
90.5,189.0,-0.035
89.9,217.0,0.0
94.1,173.0,0.0
78.6,316.0,0.0
92.9,255.0,0.0
94.0,155.0,0.0
93.0,247.0,0.0
93.0,113.0,0.052
92.1,208.0,0.036
90.0,222.0,0.0
86.2,133.0,0.0
92.6,197.0,0.0
94.4,212.0,0.0
92.2,154.0,0.038
90.6,174.0,0.0
79.6,125.0,0.0
93.4,244.0,0.0
93.8,230.0,0.0279999999999999
75.5,39.0,0.0
80.3,320.0,0.045
84.5,252.0,0.0
94.5,180.0,0.0
96.6,221.0,0.0
95.6,186.0,0.0
72.9,37.0,0.0
81.2,62.0,0.0
88.4,145.0,0.0
94.4,232.0,0.0
90.2,118.0,0.0
95.3,226.0,0.012
95.9,235.0,0.0
82.8,94.0,0.0
88.7,201.0,0.0
80.7,87.0,0.0
96.5,175.0,0.0
81.8,90.0,0.0
94.4,232.0,0.0
90.9,164.0,-0.022
91.1,141.0,0.0
93.7,216.0,0.026
96.8,214.0,0.0
84.0,87.0,0.0
91.7,246.0,0.021
94.6,207.0,-0.006
92.2,213.0,-0.008
93.5,232.0,0.0
95.7,196.0,0.0
89.5,215.0,0.0
78.7,22.0,0.0
81.0,59.0,0.0
94.3,216.0,0.0
80.3,344.0,0.0
93.9,189.0,0.001
89.7,211.0,0.0
92.1,248.0,0.01
90.8,215.0,0.0
90.9,142.0,0.1
80.0,270.0,0.0
83.0,99.0,0.0
77.0,141.0,0.0
91.6,191.0,0.0
79.6,120.0,0.0
88.8,203.0,0.0
88.3,101.0,0.0
90.8,199.0,0.05
83.3,110.0,0.0
97.2,160.0,0.0
95.7,215.0,0.0
90.3,127.0,-0.0289999999999999
96.0,159.0,0.0
84.5,77.0,0.0
91.2,92.0,0.011
78.5,58.0,0.0
95.7,174.0,0.0
95.4,208.0,0.0
75.6,63.0,0.0
95.9,209.0,-0.108
89.5,119.0,-0.017
78.9,233.0,0.006
76.7,28.0,0.0
92.5,225.0,0.0
85.2,111.0,0.0
91.9,206.0,0.0
90.5,211.0,-0.001
89.9,212.0,0.0
83.7,234.0,0.0
90.0,249.0,0.06
82.4,228.0,0.0
91.4,264.0,-0.038
95.8,228.0,0.0
92.2,208.0,0.0
80.5,94.0,-0.015
84.7,72.0,0.0
92.2,182.0,0.0
94.4,173.0,-0.0069999999999999
82.0,69.0,0.0
89.5,202.0,0.0
84.3,61.0,0.0
91.9,212.0,0.0
85.5,242.0,0.022
88.8,134.0,-0.019
79.8,287.0,0.0
94.1,190.0,0.0
80.7,251.0,-0.03
81.6,277.0,0.0
94.2,205.0,-0.005
85.8,109.0,0.0
77.3,330.0,0.0
90.5,164.0,0.0
96.0,240.0,0.0
90.1,228.0,0.0
91.7,169.0,0.0
87.0,185.0,0.0
77.2,93.0,0.0
93.8,156.0,0.0
96.8,207.0,0.0
91.4,53.0,0.0
83.7,252.0,0.001
78.2,304.0,-0.039
86.0,72.0,0.0
76.7,93.0,0.0
86.0,114.0,0.0
82.5,259.0,0.0
80.4,82.0,-0.018
84.7,72.0,0.0
89.9,174.0,0.001
88.3,253.0,0.052
95.7,211.0,0.0
84.1,252.0,0.0
93.6,242.0,0.0
81.3,227.0,0.021
92.3,164.0,0.0
95.7,225.0,0.0
92.2,212.0,-0.021
89.7,103.0,0.0
92.2,222.0,0.0
93.6,206.0,0.0
87.1,30.0,0.0
85.6,186.0,0.0
93.2,138.0,0.0
97.0,218.0,0.0
80.6,75.0,0.0
93.0,211.0,-0.02
89.2,230.0,-0.037
91.1,263.0,0.0
81.6,90.0,0.0
94.3,211.0,0.0
91.6,209.0,0.0
80.4,97.0,0.0
95.0,217.0,-0.0139999999999999
95.6,154.0,0.0
92.5,222.0,0.0
92.6,226.0,0.0
90.1,243.0,0.0
89.8,124.0,0.002
92.0,227.0,0.0559999999999999
81.1,56.0,-0.024
92.6,226.0,0.0
79.6,28.0,0.0
92.4,201.0,0.0
93.7,226.0,-0.002
89.1,148.0,0.0
86.9,178.0,0.0
86.1,157.0,0.0
85.3,240.0,0.0
92.3,203.0,0.0
84.2,64.0,-0.01
90.6,152.0,-0.025
92.7,214.0,0.0
93.8,247.0,0.0
97.2,212.0,0.0
93.4,224.0,0.001
86.3,99.0,0.0
84.0,263.0,0.0
87.5,88.0,0.025
85.2,157.0,0.0
85.6,120.0,0.0
92.6,154.0,0.0
89.9,144.0,0.0
90.7,143.0,0.0
88.6,183.0,0.0
84.2,227.0,0.0
88.1,145.0,0.023
81.9,142.0,0.0
82.4,332.0,-0.001
87.4,243.0,-0.008
85.6,64.0,0.0409999999999999
94.7,234.0,-0.033
90.0,156.0,0.0
89.2,163.0,-0.025
81.7,120.0,0.0
83.8,240.0,0.0
91.6,196.0,0.0
80.5,36.0,0.0
93.2,205.0,0.0
86.2,103.0,0.0
92.4,210.0,0.0139999999999999
90.4,165.0,0.0
94.3,217.0,0.0
88.4,240.0,0.0
95.6,205.0,0.0
87.8,158.0,0.0
91.2,147.0,0.0
97.8,219.0,0.0
91.0,228.0,0.0
95.4,207.0,0.0
94.2,204.0,0.0
91.9,164.0,0.0
95.0,240.0,0.0
99.1,234.0,0.0
83.4,99.0,0.0
94.9,143.0,0.0
92.4,239.0,0.0
94.9,122.0,0.0
97.7,246.0,0.0
90.9,174.0,0.0
84.2,102.0,0.002
93.3,194.0,0.023
91.1,205.0,0.0
82.8,242.0,0.0
91.9,147.0,0.0
80.4,118.0,0.0
96.5,209.0,0.013
92.8,209.0,0.0
87.7,288.0,0.0
97.1,221.0,0.008
98.4,230.0,0.016
83.8,113.0,-0.047
92.0,122.0,0.0
92.0,166.0,0.0
93.1,217.0,0.0
92.5,204.0,0.0
81.3,102.0,0.0
94.5,108.0,0.0
82.0,290.0,-0.016
83.4,359.0,0.0
85.6,255.0,0.002
95.4,208.0,0.0
90.7,184.0,0.0
81.3,289.0,0.0
91.7,229.0,0.0
80.2,293.0,-0.04
92.1,182.0,0.0
86.9,207.0,-0.002
83.6,189.0,0.0
94.2,237.0,0.0
77.4,72.0,0.0
81.8,53.0,0.1119999999999999
86.6,137.0,0.02
94.2,116.0,0.0
88.2,257.0,0.0
95.3,173.0,0.0
89.4,117.0,0.0
93.5,209.0,0.0
89.1,74.0,0.0
87.4,124.0,0.0
86.3,249.0,0.0
94.1,201.0,0.0
88.6,244.0,0.0
90.0,209.0,-0.008
94.4,250.0,0.024
73.2,234.0,0.0
88.3,76.0,0.0
84.6,225.0,0.0
84.9,158.0,0.0
93.3,156.0,0.0
95.7,168.0,0.0
81.0,68.0,0.0
89.2,173.0,0.0
94.3,123.0,0.0
98.4,212.0,0.002
79.8,272.0,0.0
94.0,201.0,-0.001
94.5,208.0,0.0
87.8,126.0,0.0
86.0,231.0,0.0
92.7,251.0,0.0
95.0,225.0,0.0
94.8,227.0,0.0
97.0,239.0,0.0
85.1,154.0,0.025
92.7,243.0,0.0
88.9,114.0,0.089
93.5,205.0,0.0
95.0,214.0,0.0
91.8,182.0,0.139
79.2,45.0,0.0
90.5,236.0,0.0
64.6,202.0,0.0
97.4,204.0,0.0
93.3,218.0,0.0
91.0,202.0,0.106
76.7,108.0,0.0
85.9,235.0,0.0
96.2,208.0,0.0
82.9,261.0,0.017
85.5,127.0,0.0
89.1,235.0,0.0
93.8,232.0,0.0
88.0,161.0,0.0069999999999999
95.5,134.0,0.0
94.0,200.0,0.0
92.6,158.0,0.0
93.4,173.0,0.0
81.0,25.0,0.0
80.9,46.0,0.013
80.9,246.0,0.0
84.8,246.0,-0.013
90.0,198.0,-0.015
94.6,177.0,0.0
92.5,224.0,0.0
88.8,195.0,0.0
91.5,221.0,0.0
75.1,293.0,0.0
94.9,217.0,0.0
78.5,224.0,0.0
75.5,82.0,0.0
86.5,124.0,0.013
90.8,207.0,0.0
90.7,112.0,0.0
95.4,205.0,0.0
75.2,321.0,0.0
78.4,226.0,0.0
92.6,241.0,0.005
94.2,171.0,0.0
92.9,172.0,0.0
91.8,226.0,0.0
93.4,226.0,0.0
85.6,131.0,0.0
92.7,143.0,0.0
95.4,253.0,0.0
81.8,17.0,-0.055
94.0,186.0,0.0
87.1,337.0,0.0
89.9,161.0,-0.027
79.7,28.0,0.0
83.8,149.0,0.0
74.2,41.0,0.0
92.9,200.0,0.0
83.7,235.0,0.0
84.5,241.0,0.0
88.8,206.0,-0.0139999999999999
94.7,162.0,0.027
92.6,237.0,0.0
83.7,90.0,0.0
84.7,64.0,0.0
82.0,12.0,0.0
89.0,179.0,0.0
88.0,148.0,0.0
90.0,128.0,0.0
93.5,210.0,0.0
92.4,144.0,0.006
95.0,218.0,0.073
75.0,41.0,0.0
85.5,290.0,0.0
100.5,241.0,0.0
89.4,158.0,-0.002
92.8,157.0,0.0
80.1,80.0,0.013
81.3,249.0,0.0
86.2,145.0,0.0
90.0,243.0,0.0
81.3,45.0,0.0
92.4,187.0,0.0
90.3,251.0,0.0
83.3,76.0,0.0
77.7,20.0,0.0
94.4,116.0,-0.0819999999999999
91.1,151.0,0.0
92.4,122.0,0.0
93.7,231.0,0.009
86.4,248.0,0.0
93.0,201.0,0.0
88.0,196.0,0.0
96.6,141.0,0.013
94.0,209.0,0.017
92.4,211.0,0.024
85.8,321.0,0.0
92.2,184.0,0.0
93.7,193.0,0.044
91.2,150.0,-0.009
94.0,212.0,0.0
92.1,243.0,0.0
76.7,318.0,0.0
100.6,214.0,0.0
77.6,287.0,0.0
93.2,227.0,0.0
82.9,123.0,0.018
91.0,237.0,0.055
91.8,223.0,0.0
92.0,218.0,0.0
95.7,155.0,0.0
78.4,40.0,0.0
84.2,233.0,-0.046
91.2,228.0,0.0
78.4,66.0,0.0
89.3,218.0,0.0
94.8,122.0,0.035
89.1,183.0,0.0
94.4,215.0,0.0
82.6,74.0,0.0
92.8,244.0,-0.286
80.7,50.0,0.0
89.4,172.0,0.0
83.0,255.0,0.037
93.1,215.0,0.0
91.9,213.0,0.0
82.6,184.0,0.0
86.3,230.0,0.0
93.1,207.0,0.0
84.9,47.0,0.0
85.9,12.0,0.0
78.5,89.0,0.0
82.9,90.0,0.0
84.9,45.0,-0.003
79.0,22.0,0.0
89.1,124.0,0.0
94.2,204.0,0.0
95.4,214.0,0.0
81.6,20.0,0.0
90.4,254.0,0.0
92.2,159.0,0.0
89.9,174.0,0.0
93.7,195.0,0.0
89.2,173.0,0.107
97.4,169.0,0.0
89.2,36.0,0.078
93.6,166.0,0.0
93.3,166.0,0.0
86.6,256.0,0.081
91.6,141.0,-0.023
90.9,155.0,0.0
81.6,168.0,-0.046
90.9,221.0,0.0
81.5,110.0,0.0
85.2,143.0,0.0
83.1,258.0,0.0
91.1,247.0,0.0
95.8,155.0,0.0
92.5,237.0,0.0
90.3,123.0,-0.068
73.5,25.0,-0.015
94.2,207.0,-0.038
87.1,70.0,-0.006
89.6,168.0,0.0
94.0,244.0,0.0
88.6,68.0,0.0
86.2,177.0,0.022
86.3,237.0,0.0
85.6,201.0,0.0
77.8,73.0,0.0
97.5,228.0,0.0
97.6,174.0,0.025
87.9,161.0,0.0
88.6,155.0,0.0
91.4,210.0,0.0
89.7,185.0,0.0
95.2,150.0,-0.044
92.7,178.0,0.0
92.0,159.0,0.0
94.1,240.0,0.045
91.2,168.0,0.0
86.0,149.0,0.0
94.8,203.0,0.0
84.0,268.0,0.0
81.6,298.0,0.0
85.9,120.0,0.064
92.6,207.0,0.0
88.4,319.0,0.0
81.2,220.0,0.0
91.9,244.0,0.0
92.8,150.0,0.009
90.0,188.0,0.0
83.2,254.0,0.02
86.2,105.0,-0.042
92.3,209.0,0.025
91.1,156.0,-0.017
93.0,158.0,0.0
88.5,146.0,0.0
94.7,212.0,0.0
92.5,224.0,-0.013
92.6,164.0,0.0
90.6,130.0,0.0
77.6,36.0,0.0
91.3,210.0,0.0
94.4,234.0,0.0
90.5,139.0,0.0
78.3,30.0,0.0
90.6,181.0,0.0
85.0,249.0,0.0
91.1,227.0,0.0
92.7,126.0,0.034
79.4,274.0,0.0
89.7,130.0,0.0
81.6,270.0,0.0
92.2,176.0,-0.009
89.9,244.0,0.0
89.2,242.0,0.0
86.4,172.0,0.0
95.4,218.0,0.0
91.9,209.0,-0.018
92.9,109.0,0.0
97.1,233.0,0.022
91.2,250.0,0.0
91.9,195.0,0.017
76.6,63.0,0.0
88.4,186.0,-0.142
86.2,128.0,0.004
83.5,105.0,0.0
88.3,195.0,0.0
89.8,148.0,0.0
93.3,216.0,0.118
80.2,329.0,-0.015
100.5,213.0,0.0
87.0,141.0,0.0
80.3,260.0,0.0
94.0,208.0,0.0
85.4,104.0,0.0
93.9,178.0,0.0
92.9,137.0,0.0
76.8,50.0,0.0
94.9,209.0,0.16
93.3,179.0,0.0
89.0,183.0,0.0
86.7,99.0,-0.036
83.4,121.0,0.0
80.4,346.0,-0.03
96.5,141.0,-0.01
91.3,152.0,0.0
95.7,155.0,0.0
90.5,196.0,0.004
87.7,172.0,0.0
91.5,154.0,0.025
84.8,123.0,0.0
82.6,80.0,0.0
79.3,52.0,-0.046
92.5,136.0,0.0
96.6,221.0,0.0
87.6,135.0,0.0
93.0,193.0,0.0
81.9,49.0,0.0
91.1,126.0,0.084
80.1,306.0,-0.02
84.5,238.0,-0.052
82.7,107.0,0.0
94.2,171.0,0.0
84.7,105.0,0.0
77.3,88.0,-0.012
85.4,232.0,0.0
78.4,287.0,0.033
82.2,125.0,0.0
97.3,208.0,0.0
84.1,123.0,0.0
96.2,173.0,-0.0289999999999999
86.8,115.0,0.0139999999999999
82.9,246.0,0.017
94.5,200.0,0.026
91.0,145.0,0.0
98.3,214.0,0.0
82.5,106.0,-0.023
78.4,246.0,0.0
88.1,100.0,-0.066
90.8,202.0,0.0
91.5,209.0,0.0
79.3,24.0,0.0
90.8,112.0,0.0
87.5,156.0,0.051
92.2,139.0,0.0
83.7,228.0,0.008
90.4,209.0,0.0
88.4,130.0,0.023
80.2,201.0,0.0
90.6,140.0,0.0
90.6,185.0,-0.021
76.9,277.0,0.0
90.0,148.0,-0.025
86.8,220.0,0.0
81.7,77.0,0.0
84.7,200.0,0.0
93.7,214.0,-0.054
94.7,188.0,0.0
93.0,125.0,0.025
95.2,219.0,0.0
81.7,112.0,-0.034
83.4,62.0,0.0
94.9,195.0,0.0
93.0,126.0,0.044
88.0,227.0,0.0
89.0,142.0,-0.013
93.3,200.0,0.0
84.4,230.0,0.0
85.3,195.0,0.0
90.9,96.0,0.0
77.3,64.0,-0.048
93.6,203.0,0.0
90.3,236.0,0.009
94.1,143.0,0.0
81.4,16.0,0.0
82.0,12.0,0.0
88.6,143.0,0.0
91.4,122.0,-0.011
94.3,261.0,-0.011
90.9,218.0,0.0
94.5,190.0,0.006
79.9,253.0,0.0
81.0,15.0,0.008
92.5,227.0,0.0
93.5,190.0,0.0
90.4,169.0,0.0
92.4,216.0,0.0
92.4,194.0,0.09
91.8,167.0,0.0
89.6,121.0,0.0
89.6,191.0,0.0
86.6,232.0,0.0
94.4,129.0,0.076
92.4,209.0,0.0
95.3,210.0,0.0
89.5,155.0,0.0
83.9,217.0,0.0
76.5,269.0,0.023
69.0,139.0,-0.001
96.5,204.0,0.013
90.1,217.0,0.011
87.4,187.0,0.0
87.0,243.0,0.02
69.9,289.0,0.0
92.0,138.0,-0.0139999999999999
91.1,155.0,0.0
81.4,134.0,0.0
87.0,232.0,0.0
92.8,212.0,0.0
82.6,107.0,0.0
95.1,225.0,0.0
95.2,178.0,-0.011
91.7,132.0,0.0
91.7,231.0,0.0
81.1,91.0,-0.03
96.6,230.0,0.036
87.8,98.0,0.0
92.6,130.0,0.0
93.1,197.0,0.0
93.1,136.0,0.0
87.0,196.0,0.0
92.1,190.0,0.0
86.8,222.0,0.0
81.6,195.0,0.01
89.3,154.0,0.0
84.7,58.0,0.0
90.5,156.0,-0.0069999999999999
81.9,72.0,0.0
86.0,230.0,0.0
97.5,196.0,0.0
89.5,195.0,0.031
90.9,115.0,0.0
92.1,265.0,0.0
93.0,194.0,0.012
94.4,220.0,0.115
101.2,252.0,-0.0069999999999999
96.2,130.0,0.0
89.8,210.0,0.0
97.0,160.0,0.065
91.6,230.0,0.0
101.5,231.0,0.0
83.5,119.0,0.0
85.1,111.0,0.0
91.5,162.0,0.0
90.4,211.0,0.0
96.6,151.0,0.0
87.6,243.0,0.0
86.9,266.0,0.045
